===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,MyStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
737,,737,2022-01-24 19:16:00,1838.975,1839.135,1838.88,1839.045,0.0,-1.0,MyStrategy,737,738179.8027777778,Broker,737,10000.0,10000.0,BuySell,737,,,Trades - Net Profit/Loss,737,,
738,,738,2022-01-24 19:17:00,1839.045,1839.14,1838.725,1839.14,0.0,-1.0,MyStrategy,738,738179.8034722222,Broker,738,10000.0,10000.0,BuySell,738,,,Trades - Net Profit/Loss,738,,
739,,739,2022-01-24 19:18:00,1839.14,1839.335,1838.89,1839.19,0.0,-1.0,MyStrategy,739,738179.8041666667,Broker,739,10000.0,10000.0,BuySell,739,,,Trades - Net Profit/Loss,739,,
740,,740,2022-01-24 19:19:00,1839.19,1839.21,1838.89,1838.895,0.0,-1.0,MyStrategy,740,738179.8048611111,Broker,740,10000.0,10000.0,BuySell,740,,,Trades - Net Profit/Loss,740,,
741,,741,2022-01-24 19:20:00,1838.895,1839.07,1838.71,1838.9,0.0,-1.0,MyStrategy,741,738179.8055555555,Broker,741,10000.0,10000.0,BuySell,741,,,Trades - Net Profit/Loss,741,,
742,,742,2022-01-24 19:21:00,1838.9,1838.9,1838.15,1838.165,0.0,-1.0,MyStrategy,742,738179.80625,Broker,742,10000.0,10000.0,BuySell,742,,,Trades - Net Profit/Loss,742,,
743,,743,2022-01-24 19:22:00,1838.165,1838.37,1838.025,1838.34,0.0,-1.0,MyStrategy,743,738179.8069444444,Broker,743,10000.0,10000.0,BuySell,743,,,Trades - Net Profit/Loss,743,,
744,,744,2022-01-24 19:23:00,1838.34,1838.665,1838.2,1838.64,0.0,-1.0,MyStrategy,744,738179.807638889,Broker,744,10000.0,10000.0,BuySell,744,,,Trades - Net Profit/Loss,744,,
745,,745,2022-01-24 19:24:00,1838.64,1838.665,1838.11,1838.11,0.0,-1.0,MyStrategy,745,738179.8083333333,Broker,745,10000.0,10000.0,BuySell,745,,,Trades - Net Profit/Loss,745,,
746,,746,2022-01-24 19:25:00,1838.11,1838.17,1837.945,1837.955,0.0,-1.0,MyStrategy,746,738179.8090277778,Broker,746,10000.0,10000.0,BuySell,746,,,Trades - Net Profit/Loss,746,,
747,,747,2022-01-24 19:26:00,1837.955,1837.955,1837.51,1837.74,0.0,-1.0,MyStrategy,747,738179.8097222223,Broker,747,10000.0,10000.0,BuySell,747,,,Trades - Net Profit/Loss,747,,
748,,748,2022-01-24 19:27:00,1837.74,1837.805,1837.275,1837.275,0.0,-1.0,MyStrategy,748,738179.8104166667,Broker,748,10000.0,10000.0,BuySell,748,,,Trades - Net Profit/Loss,748,,
749,,749,2022-01-24 19:28:00,1837.275,1837.42,1837.17,1837.285,0.0,-1.0,MyStrategy,749,738179.8111111111,Broker,749,10000.0,10000.0,BuySell,749,,,Trades - Net Profit/Loss,749,,
750,,750,2022-01-24 19:29:00,1837.285,1837.89,1837.285,1837.89,0.0,-1.0,MyStrategy,750,738179.8118055556,Broker,750,10000.0,10000.0,BuySell,750,,,Trades - Net Profit/Loss,750,,
751,,751,2022-01-24 19:30:00,1837.89,1837.975,1837.61,1837.895,0.0,-1.0,MyStrategy,751,738179.8125,Broker,751,10000.0,10000.0,BuySell,751,,,Trades - Net Profit/Loss,751,,
752,,752,2022-01-24 19:31:00,1837.895,1838.075,1837.825,1838.03,0.0,-1.0,MyStrategy,752,738179.8131944444,Broker,752,10000.0,10000.0,BuySell,752,,,Trades - Net Profit/Loss,752,,
753,,753,2022-01-24 19:32:00,1838.03,1838.87,1838.01,1838.86,0.0,-1.0,MyStrategy,753,738179.8138888889,Broker,753,10000.0,10000.0,BuySell,753,,,Trades - Net Profit/Loss,753,,
754,,754,2022-01-24 19:33:00,1838.86,1839.16,1838.755,1838.835,0.0,-1.0,MyStrategy,754,738179.8145833333,Broker,754,10000.0,10000.0,BuySell,754,,,Trades - Net Profit/Loss,754,,
755,,755,2022-01-24 19:34:00,1838.835,1838.98,1838.56,1838.6,0.0,-1.0,MyStrategy,755,738179.8152777777,Broker,755,10000.0,10000.0,BuySell,755,,,Trades - Net Profit/Loss,755,,
756,,756,2022-01-24 19:35:00,1838.6,1839.16,1838.535,1839.15,0.0,-1.0,MyStrategy,756,738179.8159722222,Broker,756,10000.0,10000.0,BuySell,756,,,Trades - Net Profit/Loss,756,,
757,,757,2022-01-24 19:36:00,1839.15,1839.37,1839.095,1839.145,0.0,-1.0,MyStrategy,757,738179.8166666667,Broker,757,10000.0,10000.0,BuySell,757,,,Trades - Net Profit/Loss,757,,
758,,758,2022-01-24 19:37:00,1839.145,1839.265,1838.945,1838.975,0.0,-1.0,MyStrategy,758,738179.817361111,Broker,758,10000.0,10000.0,BuySell,758,,,Trades - Net Profit/Loss,758,,
759,,759,2022-01-24 19:38:00,1838.975,1839.405,1838.935,1839.095,0.0,-1.0,MyStrategy,759,738179.8180555556,Broker,759,10000.0,10000.0,BuySell,759,,,Trades - Net Profit/Loss,759,,
760,,760,2022-01-24 19:39:00,1839.095,1839.51,1839.02,1839.49,0.0,-1.0,MyStrategy,760,738179.81875,Broker,760,10000.0,10000.0,BuySell,760,,,Trades - Net Profit/Loss,760,,
761,,761,2022-01-24 19:40:00,1839.49,1839.57,1839.045,1839.24,0.0,-1.0,MyStrategy,761,738179.8194444445,Broker,761,10000.0,10000.0,BuySell,761,,,Trades - Net Profit/Loss,761,,
762,,762,2022-01-24 19:41:00,1839.24,1839.585,1839.115,1839.585,0.0,-1.0,MyStrategy,762,738179.8201388889,Broker,762,10000.0,10000.0,BuySell,762,,,Trades - Net Profit/Loss,762,,
763,,763,2022-01-24 19:42:00,1839.585,1839.6,1839.065,1839.22,0.0,-1.0,MyStrategy,763,738179.8208333333,Broker,763,10000.0,10000.0,BuySell,763,,,Trades - Net Profit/Loss,763,,
764,,764,2022-01-24 19:43:00,1839.22,1839.235,1839.08,1839.085,0.0,-1.0,MyStrategy,764,738179.8215277778,Broker,764,10000.0,10000.0,BuySell,764,,,Trades - Net Profit/Loss,764,,
765,,765,2022-01-24 19:44:00,1839.085,1839.095,1838.725,1838.91,0.0,-1.0,MyStrategy,765,738179.8222222222,Broker,765,10000.0,10000.0,BuySell,765,,,Trades - Net Profit/Loss,765,,
766,,766,2022-01-24 19:45:00,1838.91,1839.095,1838.735,1839.095,0.0,-1.0,MyStrategy,766,738179.8229166666,Broker,766,10000.0,10000.0,BuySell,766,,,Trades - Net Profit/Loss,766,,
767,,767,2022-01-24 19:46:00,1839.095,1839.1,1838.445,1838.46,0.0,-1.0,MyStrategy,767,738179.8236111111,Broker,767,10000.0,10000.0,BuySell,767,,,Trades - Net Profit/Loss,767,,
