,open,high,low,close,volume
2022-12-13 20:42:00,1787.82,1787.835,1787.675,1787.835,-1
2022-12-13 20:43:00,1787.835,1787.875,1787.67,1787.75,-1
2022-12-13 20:44:00,1787.75,1787.86,1787.73,1787.83,-1
2022-12-13 20:45:00,1787.83,1788.3,1787.83,1788.195,-1
2022-12-13 20:46:00,1788.195,1788.805,1788.115,1788.66,-1
2022-12-13 20:47:00,1788.66,1788.975,1788.49,1788.865,-1
2022-12-13 20:48:00,1788.865,1788.93,1788.73,1788.915,-1
2022-12-13 20:49:00,1788.915,1789.465,1788.85,1789.11,-1
2022-12-13 20:50:00,1789.11,1789.215,1788.845,1788.94,-1
2022-12-13 20:51:00,1788.94,1789.04,1788.845,1788.95,-1
2022-12-13 20:52:00,1788.95,1789.04,1788.66,1788.81,-1
2022-12-13 20:53:00,1788.81,1788.935,1788.55,1788.83,-1
2022-12-13 20:54:00,1788.83,1789.165,1788.785,1789.16,-1
2022-12-13 20:55:00,1789.16,1789.44,1788.965,1789.37,-1
2022-12-13 20:56:00,1789.37,1789.76,1789.36,1789.73,-1
2022-12-13 20:57:00,1789.73,1790.275,1789.67,1789.86,-1
2022-12-13 20:58:00,1789.86,1789.915,1789.23,1789.245,-1
2022-12-13 20:59:00,1789.245,1789.365,1788.94,1789.105,-1
2022-12-13 21:00:00,1789.105,1789.4,1788.56,1788.74,-1
2022-12-13 21:01:00,1788.74,1789.105,1788.63,1789.105,-1
2022-12-13 21:02:00,1789.105,1789.57,1789.02,1789.375,-1
2022-12-13 21:03:00,1789.375,1789.59,1789.23,1789.46,-1
2022-12-13 21:04:00,1789.46,1789.51,1788.74,1788.76,-1
2022-12-13 21:05:00,1788.76,1788.92,1788.35,1788.41,-1
2022-12-13 21:06:00,1788.41,1788.51,1787.755,1787.88,-1
2022-12-13 21:07:00,1787.88,1787.975,1786.72,1787.145,-1
2022-12-13 21:08:00,1787.145,1787.355,1786.945,1787.305,-1
2022-12-13 21:09:00,1787.305,1787.72,1787.305,1787.495,-1
2022-12-13 21:10:00,1787.495,1788.09,1787.37,1787.555,-1
2022-12-13 21:11:00,1787.555,1787.665,1787.38,1787.565,-1
2022-12-13 21:12:00,1787.565,1787.955,1787.565,1787.715,-1
2022-12-13 21:13:00,1787.715,1788.2,1787.715,1788.15,-1
2022-12-13 21:14:00,1788.15,1788.25,1787.935,1787.935,-1
2022-12-13 21:15:00,1787.935,1788.335,1787.935,1788.045,-1
2022-12-13 21:16:00,1788.045,1788.225,1787.685,1788.215,-1
2022-12-13 21:17:00,1788.215,1788.405,1787.59,1788.175,-1
2022-12-13 21:18:00,1788.175,1788.385,1787.99,1788.025,-1
2022-12-13 21:19:00,1788.025,1788.705,1787.885,1788.685,-1
2022-12-13 21:20:00,1788.685,1789.91,1788.04,1788.21,-1
2022-12-13 21:21:00,1788.21,1788.42,1787.74,1788.015,-1
2022-12-13 21:22:00,1788.015,1788.67,1788.01,1788.565,-1
2022-12-13 21:23:00,1788.565,1789.49,1788.47,1789.23,-1
2022-12-13 21:24:00,1789.23,1789.59,1788.855,1789.14,-1
2022-12-13 21:25:00,1789.14,1789.145,1788.215,1788.23,-1
2022-12-13 21:26:00,1788.23,1788.995,1788.105,1788.34,-1
2022-12-13 21:27:00,1788.34,1788.495,1787.99,1788.24,-1
2022-12-13 21:28:00,1788.24,1788.66,1787.635,1788.07,-1
2022-12-13 21:29:00,1788.07,1796.24,1787.935,1790.67,-1
2022-12-13 21:30:00,1790.67,1815.535,1790.405,1809.305,-1
2022-12-13 21:31:00,1809.305,1811.325,1806.195,1809.65,-1
2022-12-13 21:32:00,1809.65,1811.32,1806.44,1807.04,-1
2022-12-13 21:33:00,1807.04,1807.94,1802.685,1803.495,-1
2022-12-13 21:34:00,1803.495,1806.44,1802.775,1802.955,-1
2022-12-13 21:35:00,1802.955,1804.32,1800.715,1803.36,-1
2022-12-13 21:36:00,1803.36,1805.11,1802.185,1802.43,-1
2022-12-13 21:37:00,1802.43,1806.635,1802.42,1806.455,-1
2022-12-13 21:38:00,1806.455,1807.145,1804.315,1805.605,-1
2022-12-13 21:39:00,1805.605,1808.885,1805.51,1808.355,-1
2022-12-13 21:40:00,1808.355,1810.78,1808.265,1809.205,-1
2022-12-13 21:41:00,1809.205,1810.2,1808.08,1808.74,-1
2022-12-13 21:42:00,1808.74,1810.185,1807.83,1808.205,-1
2022-12-13 21:43:00,1808.205,1808.855,1806.92,1808.29,-1
2022-12-13 21:44:00,1808.29,1809.96,1808.29,1809.255,-1
2022-12-13 21:45:00,1809.255,1810.51,1807.285,1807.745,-1
2022-12-13 21:46:00,1807.745,1810.355,1807.745,1809.275,-1
2022-12-13 21:47:00,1809.275,1809.95,1808.735,1809.33,-1
2022-12-13 21:48:00,1809.33,1810.85,1809.035,1810.7,-1
2022-12-13 21:49:00,1810.7,1810.71,1809.235,1810.345,-1
2022-12-13 21:50:00,1810.345,1811.215,1809.96,1810.805,-1
2022-12-13 21:51:00,1810.805,1811.13,1807.385,1807.385,-1
2022-12-13 21:52:00,1807.385,1807.77,1804.675,1805.225,-1
2022-12-13 21:53:00,1805.225,1806.48,1804.83,1805.64,-1
2022-12-13 21:54:00,1805.64,1807.14,1805.575,1806.955,-1
2022-12-13 21:55:00,1806.955,1808.77,1805.725,1808.51,-1
2022-12-13 21:56:00,1808.51,1808.865,1807.925,1808.45,-1
2022-12-13 21:57:00,1808.45,1810.38,1808.45,1809.53,-1
2022-12-13 21:58:00,1809.53,1810.97,1809.23,1810.865,-1
2022-12-13 21:59:00,1810.865,1811.82,1810.155,1811.07,-1
2022-12-13 22:00:00,1811.07,1812.93,1810.915,1812.025,-1
2022-12-13 22:01:00,1812.025,1813.275,1811.65,1812.705,-1
2022-12-13 22:02:00,1812.705,1813.635,1812.385,1813.45,-1
2022-12-13 22:03:00,1813.45,1814.07,1812.88,1813.905,-1
2022-12-13 22:04:00,1813.905,1814.155,1813.31,1813.865,-1
2022-12-13 22:05:00,1813.865,1815.2,1813.85,1814.585,-1
2022-12-13 22:06:00,1814.585,1814.985,1814.49,1814.745,-1
2022-12-13 22:07:00,1814.745,1816.44,1814.545,1815.47,-1
2022-12-13 22:08:00,1815.47,1815.695,1813.26,1813.26,-1
2022-12-13 22:09:00,1813.26,1813.545,1812.21,1813.43,-1
2022-12-13 22:10:00,1813.43,1814.2,1812.735,1813.01,-1
2022-12-13 22:11:00,1813.01,1815.035,1812.955,1814.935,-1
2022-12-13 22:12:00,1814.935,1816.16,1814.795,1815.925,-1
2022-12-13 22:13:00,1815.925,1817.71,1815.805,1817.605,-1
2022-12-13 22:14:00,1817.605,1818.11,1816.975,1817.605,-1
2022-12-13 22:15:00,1817.605,1818.325,1817.07,1817.965,-1
2022-12-13 22:16:00,1817.965,1817.985,1816.555,1816.67,-1
2022-12-13 22:17:00,1816.67,1817.7,1816.55,1817.26,-1
2022-12-13 22:18:00,1817.26,1817.855,1817.185,1817.725,-1
2022-12-13 22:19:00,1817.725,1818.74,1817.435,1818.225,-1
2022-12-13 22:20:00,1818.225,1819.265,1818.185,1818.74,-1
2022-12-13 22:21:00,1818.74,1819.395,1818.06,1819.125,-1
2022-12-13 22:22:00,1819.125,1819.685,1819.055,1819.575,-1
2022-12-13 22:23:00,1819.575,1820.355,1819.12,1820.32,-1
2022-12-13 22:24:00,1820.32,1820.32,1818.59,1818.82,-1
2022-12-13 22:25:00,1818.82,1819.33,1818.07,1818.315,-1
2022-12-13 22:26:00,1818.315,1820.34,1818.315,1820.065,-1
